116810,330755,334394,242884,214365,284520,460729,485061,389071,403868,343258,385587,491839,245598,122589,
158233,245375,317177,393067,372045,277874,72973.3,99277.6,104673,365908,440127,253169,416469,370054,408569,
130298,269531,362476,93073.5,140781,55708.2,181206,65347.6,187120,259815,372853,120425,377293,94440,149332,
51076.3,192086,66784.8,54464.4,90327.9,83738.2,181304,139676,179057,50005.9,302439,78988.3,220056,138296,327359,
38638.8,341372,91435.2,94856.7,235358,54383,213040,66206.6,195551,222052,328717,68431.9,55065.2,211142,190173,
385210,93730.8,57802.5,232667,261980,207604,405168,64755.8,63674.9,366476,327305,370132,42506.3,399182,95709.2,
41862.4,321198,477108,36176.8,74905.5,345587,179124,291671,72062.4,555971,214266,258406,312794,32443.8,394687,
128265,149176,224204,294204,127023,58433.5,104219,172556,346394,134466,80300.6,237574,244272,382627,63405.3,
323045,147957,306216,107575,57748.8,398625,135404,224871,170803,233692,87465,276193,62282,50203.3,309140,
56816.2,107470,55836.7,527062,201470,34850.1,322995,39877.4,428802,46925,138652,219606,89298.5,312329,98657.4,
93261.8,134979,25010.1,262621,287891,97246.7,57529.7,52446.6,407666,208907,77714.4,22169.4,280686,174531,159055,
389398,76151.4,408880,201893,62486.8,291603,221721,68231.8,102623,372324,35970.7,305261,193196,326203,301155,
244056,82822,57270.4,132590,59452.3,255555,58919.2,44595.1,24208.4,353340,22978,417674,236791,67814.8,174612,
18168.3,70740.8,320122,207591,126996,357278,460524,86690.1,110458,83270.4,107917,255629,179587,462895,55629.6,
151210,414696,89051.7,409914,99215.2,105264,99959.1,154125,101401,296591,178081,350232,77885.7,88571.3,77334.4,
348580,192620,114667,56388.8,375963,96187.8,395618,94604.6,185498,443714,115781,83803,132187,197515,116183,
30947,225780,57291.8,82680.2,96432.9,176629,55303.6,292088,169320,137013,120218,93165.1,183170,61494.6,322706,
113550,151405,402358,411257,38054.1,55872.6,114406,357097,172200,39104.7,85850.8,423193,72213.4,131819,34885.8,
111855,111522,449422,89486.6,302955,221108,17058.7,360721,76217.6,66832.5,266310,427314,95954.9,55560.2,253642,
204705,115456,93594.7,92983.8,143981,62464,96756.9,532025,83432.2,70898.5,102613,26447.7,310126,101182,116563,
234196,139892,165188,126834,361882,193372,252020,67480.4,42879.9,365686,196068,120451,122892,485848,136031,
89259.7,93865.1,168210,163441,99210.2,109499,233737,148686,112893,286568,94193.2,54548.7,67770.2,19558.1,27595.5,
69574.6,66487.2,30393.1,70921.4,310751,21027.8,27204.3,214041,79437.5,178361,115386,364274,190095,324959,169791,
104472,355659,99234.2,18800.7,409767,91840.5,21144,315101,286538,63434.8,252283,93327.7,307039,40415.2,105913,
106449,61642.5,400587,251570,39880.6,193157,130272,113668,199119,120972,84203.2,134284,115341,482670,74258,
36615.2,164323,84364.7,260515,191348,332233,29291.2,100188,212765,136275,109173,342428,238988,99616.3,119643,
15680.8,112517,384248,169552,57984.1,163026,47501.7,287750,89816.1,107519,42442.9,107624,158943,43077,97717.6,
89652.9,54966.5,33693.2,91832.8,23765.6,318986,64615.7,422746,238224,91205.5,497281,89570.9,225071,86485.4,218976,
110584,338580,373255,16587.2,89092.2,94267.8,55821,280072,19013.8,39249,133348,28049.9,331042,26998.6,67410.5,
286624,194782,51727.3,168417,351119,187782,117433,200981,28831.3,125321,248691,58827.8,86677.5,284847,125233,
20177.8,114461,135225,97994.8,141828,133864,75147.4,108411,201449,253870,268735,267962,96301.5,167808,117969,
61479.4,78414.3,389523,223169,403775,63575.9,93894.1,110692,199984,223225,123537,97196.9,80594.7,299328,397932,
83263.3,56345.1,154136,94110.6,126203,295379,349595,251977,67746.5,293518,47432,161551,52183.2,45679.6,61147.7,
175066,94866.2,72420.5,472808,308363,80318.1,56171.3,232774,158634,147438,110535,236689,331120,103694,341128,
92586.1,391797,226396,59693.5,79783.7,104148,108560,466608,200255,142094,335978,486067,42028.2,87711,176096,
199085,183707,92241.5,264830,118266,96958.9,221653,27263.4,184494,119682,30414.1,39810.4,320214,53003.7,123414,
364366,323593,199135,54976.8,108038,205082,42075.5,341045,28746.4,74705.4,136316,254317,61986.1,278880,157458,
118000,311984,418753,30976.7,250087,87038.4,67772,106418,44269.5,23824.7,265350,54214.4,361479,503513,179444,
151561,93748.8,28132.5,132227,62417.7,133818,239640,59564.8,169354,84915.8,95965.3,449912,80613.8,347320,99581.2,
223460,84264.9,110450,253458,163417,62676.4,271744,26669.3,145923,93871.4,19307.5,258314,226110,61111.6,153209,
191540,135562,122589,322755,73290.1,62196.9,348218,102825,252883,64684.6,68655.9,47028.5,350327,63085.5,24850.4,
149076,355971,197757,515379,433825,68757.9,143778,291251,243487,283081,65695.2,104474,154284,60083.3,237298,
83168.5,222889,433707,34614.2,243685,54830.4,39690.7,131153,68326.4,357220,276948,51814.3,337197,249393,374299,
102598,164888,44827.1,195152,397403,395628,31743.5,60234.9,19337.7,135566,116677,443131,353026,156756,76549.3,
76140.3,20342.4,78756.3,47186.4,112299,230065,177128,206774,159878,375174,75945.1,63169.2,384629,79352.4,77529.8,
332363,39937.3,192130,56079.8,306367,89204.2,429129,381409,373587,129301,41309.9,122108,43139.8,360245,57250,
182455,120385,287473,71986.2,197417,184203,136456,137499,42634.6,83682.8,128775,187376,582478,10352.1,135059,
352060,168865,334042,255136,225884,88047.8,56383.6,359820,250015,308404,162482,335209,223270,227957,347422,
112169,74326.9,158846,67562.9,178828,126930,45278.4,44304.2,207202,252346,240089,93604.8,139996,159845,187220,
330153,266870,99889.7,292555,35112.9,364958,385362,223220,269449,102629,70133.1,224892,153946,89287.6,396661,
