296402,322218,388293,285924,86183.4,412169,269705,144648,178136,242522,185833,374262,273364,297055,230595,
180452,124631,184551,388482,360235,236973,190066,365093,171586,384577,236067,110312,335223,359938,278217,
182163,163867,349859,178731,310923,223612,163499,363805,135974,212899,152264,209723,249626,318273,296623,
139438,147456,148696,308288,123123,186477,285203,160456,285511,130170,221356,171816,158596,297524,242674,
261721,167608,179262,139332,417141,116311,150774,161680,134216,146763,136657,139722,359479,111634,120411,
143976,259830,218913,176236,269173,284998,107892,144336,162509,264857,186853,146035,92660.4,415774,204499,
268731,131001,233376,105835,110720,212955,236774,119304,323388,90047.5,391380,266714,131705,123041,103991,
151033,297721,171226,123620,252733,89995.3,124805,299249,98600.6,124555,137679,384572,78081,228572,176227,
350585,161477,234178,108712,143452,97581.5,349566,134816,106215,242414,168126,173052,135095,406921,214422,
287030,122945,116838,261245,120932,204341,388373,233585,127321,184316,245126,168748,234921,168530,295603,
185090,121998,261539,192293,144578,169879,299613,267147,171301,283958,294339,338194,229084,113922,107966,
121389,345419,212000,130191,278374,186246,261485,342487,283682,365868,358244,229793,394370,108184,178537,
286888,215541,100698,318225,101985,198187,184634,113011,130072,300775,247082,228940,339397,260208,128261,
81712.6,431179,124457,97584,317149,339686,138641,172160,86079.4,147149,135239,131154,180104,139257,100967,
330684,223905,99709.4,140473,152051,139330,107883,156455,301542,333127,139862,213906,134515,153568,162516,
272987,138072,263224,129210,143724,157357,116433,217542,116519,152256,175750,244032,416375,270904,110031,
228378,330094,120223,141829,105393,155280,140942,139699,384506,140040,146843,120304,104549,355986,117929,
329747,116592,354080,100445,234206,215012,188425,126454,288312,189980,177110,242881,150052,115202,215862,
151139,111973,371376,136925,128661,332763,139584,93467,266904,221793,239031,105437,129973,162336,198521,
167661,438125,146867,155961,133861,157797,137504,116563,193930,105419,212242,121020,358438,129326,87210.2,
























































































































































































































































































